AID,Type,ID,From,To,Dep(min),Dur(min),Rem_A(min),Rem_B(min),Rem_C(days),Rem_D(days)
14,FLIGHT,F222,G,D,19297.0,148.0,240.0,420.0,-1.659,1.341
14,MAINT,C,D,D,19445.0,240.0,,,,
14,FLIGHT,F233,D,A,19883.0,141.0,240.0,420.0,3.863,0.934
14,FERRY,FERRY,A,F,20024.0,60.0,,,,
14,MAINT,A,F,F,20084.0,45.0,,,,
14,FLIGHT,F234,F,B,20712.0,147.0,240.0,279.0,3.287,0.358
14,MAINT,B,B,B,20859.0,90.0,,,,
14,FLIGHT,F253,B,G,22038.0,172.0,240.0,420.0,2.366,-0.563
14,FERRY,FERRY,G,F,22210.0,60.0,,,,
14,MAINT,D,F,F,22270.0,420.0,,,,
14,FLIGHT,F276,F,C,23863.0,61.0,240.0,420.0,3.185,6.185
15,MAINT,B,E,E,0.0,90.0,,,,
15,FLIGHT,F13,E,G,1080.0,76.0,240.0,420.0,1.25,0.25
15,FERRY,FERRY,G,F,1156.0,60.0,,,,
15,FLIGHT,F22,F,H,2027.0,84.0,164.0,344.0,0.592,-0.408
15,FERRY,FERRY,H,B,2111.0,60.0,,,,
15,MAINT,D,B,B,2171.0,420.0,,,,
15,FLIGHT,F53,B,F,4766.0,180.0,240.0,420.0,2.49,5.49
15,FERRY,FERRY,F,K,4946.0,60.0,,,,
15,MAINT,A,K,K,5006.0,45.0,,,,
15,FLIGHT,F85,K,H,7675.0,137.0,240.0,240.0,0.469,3.469
15,MAINT,B,H,H,7812.0,90.0,,,,
15,FLIGHT,F112,H,C,9480.0,175.0,240.0,420.0,-0.784,2.216
15,MAINT,C,C,C,9655.0,240.0,,,,
15,FLIGHT,F125,C,A,10787.0,153.0,240.0,420.0,3.381,1.308
15,MAINT,A,A,A,10940.0,45.0,,,,
15,FLIGHT,F133,A,H,11187.0,94.0,240.0,267.0,3.103,1.031
15,FERRY,FERRY,H,F,11281.0,60.0,,,,
15,FLIGHT,F144,F,I,12357.0,141.0,146.0,173.0,2.29,0.218
15,MAINT,B,I,I,12498.0,90.0,,,,
15,FLIGHT,F152,I,J,13337.0,171.0,240.0,420.0,1.61,-0.463
15,MAINT,D,J,J,13508.0,420.0,,,,
15,FLIGHT,F166,J,D,14058.0,81.0,240.0,420.0,3.91,6.91
15,FERRY,FERRY,D,A,14139.0,60.0,,,,
15,FLIGHT,F178,A,H,15040.0,105.0,159.0,339.0,3.228,6.228
15,FERRY,FERRY,H,E,15145.0,60.0,,,,
15,MAINT,A,E,E,15205.0,45.0,,,,
15,FLIGHT,F209,E,H,17897.0,97.0,240.0,234.0,1.244,4.244
15,FLIGHT,F240,H,C,21006.0,136.0,143.0,137.0,-0.915,2.085
15,FERRY,FERRY,C,L,21142.0,60.0,,,,
15,MAINT,C,L,L,21202.0,240.0,,,,
15,FLIGHT,F260,L,I,22211.0,125.0,240.0,420.0,3.466,1.248
15,FLIGHT,F265,I,B,22461.0,65.0,115.0,295.0,3.292,1.074
15,MAINT,A,B,B,22526.0,45.0,,,,
15,FLIGHT,F274,B,F,23827.0,89.0,240.0,230.0,2.344,0.126
