instance,variant,mode,flights,aircraft,days,variables,constraints,z_variables,build_s,solver,time_limit_s,status,objective,dual_bound,primal_bound,mip_gap,nodes,runtime_s,coverage,error
DataCplex_density=0.65_p=8_h=14_test_4,combined,milp,64,8,14,1104,3269,256,0.217845,highs,300,optimal,29777.0,29777.0,29777.0,0.0,,1.005273,,
DataCplex_density=0.65_p=8_h=14_test_5,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43132.0,,,,,0.035981,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_5,baseline,lp,64,8,14,2896,6598,2048,0.232359,highs,300,optimal,29730.0,29730.0,29730.0,0.0,,0.769495,,
DataCplex_density=0.65_p=8_h=14_test_5,baseline,milp,64,8,14,2896,6598,2048,0.277872,highs,300,optimal,29730.0,29730.0,29730.0,0.0,,1.702328,,
DataCplex_density=0.65_p=8_h=14_test_5,combined,lp,64,8,14,1104,3269,256,0.226007,highs,300,optimal,29730.0,29730.0,29730.0,0.0,,0.404553,,
DataCplex_density=0.65_p=8_h=14_test_5,combined,milp,64,8,14,1104,3269,256,0.21842,highs,300,optimal,29730.0,29730.0,29730.0,0.0,,0.996688,,
DataCplex_density=0.65_p=8_h=14_test_6,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43165.0,,,,,0.036763,0.84375,10 unassigned
DataCplex_density=0.65_p=8_h=14_test_6,baseline,lp,64,8,14,2896,6598,2048,0.270605,highs,300,optimal,29797.0,29797.0,29797.0,0.0,,0.777812,,
DataCplex_density=0.65_p=8_h=14_test_6,baseline,milp,64,8,14,2896,6598,2048,0.248405,highs,300,optimal,29797.0,29797.0,29797.0,0.0,,1.720033,,
DataCplex_density=0.65_p=8_h=14_test_6,combined,lp,64,8,14,1104,3269,256,0.234027,highs,300,optimal,29797.0,29797.0,29797.0,0.0,,0.396286,,
DataCplex_density=0.65_p=8_h=14_test_6,combined,milp,64,8,14,1104,3269,256,0.218832,highs,300,optimal,29797.0,29797.0,29797.0,0.0,,0.996297,,
DataCplex_density=0.65_p=8_h=14_test_7,heuristic:greedy+insertion,heuristic,64,8,,,,,,none,,partial,43110.0,,,,,0.03602,0.84375,10 unassigned
